ident,type,name,iso_country,iata_code
US-0560,small_airport,Tommy's Field Airport,US,
US-0561,small_airport,Sands Airport,US,
US-0562,small_airport,Serenity Field Airport,US,
US-0563,small_airport,Happy Landings Airport,US,
US-0564,heliport,Horseshoe Heliport,US,
US-0565,heliport,Christus Spohn Hospital Kingsville Heliport,US,
US-0566,heliport,Logan Regional Hospital Heliport,US,
US-0567,heliport,Madelia Helipad,US,
US-0568,seaplane_base,Tailwind Boston Seaplane Base,US,
US-0569,small_airport,Fokker Field,US,
US-0570,heliport,Kettering Health Greene Memorial Hospital Heliport,US,
US-0572,heliport,Wilson Helispot,US,
US-0573,small_airport,Fisch RLA Airport,US,
US-0574,small_airport,Wilt RLA Airport,US,
US-0575,heliport,Parkview Warsaw Facility Heliport,US,
US-0576,small_airport,Spring Creek Ranch Airport,US,
US-0577,heliport,Hillsborough County Fire Rescue Heliport,US,
US-0578,small_airport,Durin RLA Airport,US,
US-0579,small_airport,Friends Field,US,
US-0580,small_airport,Chips Airport,US,
US-0581,small_airport,Lost Airfield,US,
US-0582,heliport,Valley Regional Hospital Heliport,US,
US-0583,small_airport,Rancho San Lorenzo Airport,US,
US-0584,heliport,Dan's Apple Farm Heliport,US,
US-0585,heliport,Marion General Hospital Heliport,US,
US-0587,small_airport,Lone Tree Airport,US,
US-0588,small_airport,K-John Airport,US,
US-0589,small_airport,North Fox Island Airport,US,
US-0590,small_airport,Bison Hill Airport,US,
US-0591,heliport,Franciscan Health Munster Heliport,US,
US-0592,heliport,MidMichigan Health Park Heliport,US,
US-0593,small_airport,Lynnhaven Field,US,
US-0594,heliport,Potato Pond Heliport,US,
US-0595,heliport,Desutter Farm Heliport,US,
US-0596,heliport,Unity Medical Center Heliport,US,
US-0597,small_airport,Big Horn County Airport,US,
US-0598,heliport,Ronald Reagan UCLA Medical Center Helistop,US,
US-0600,small_airport,Limerick Airport,US,
US-0601,small_airport,Stony Mountain Lodge Airport,US,
US-0603,seaplane_base,Halifax River Seaplane Base,US,
US-0604,heliport,HDC1 Heliport,US,
US-0605,heliport,Glencoe Regional Health Service Heliport,US,
US-0606,small_airport,Sword's Landing Airport,US,
US-0607,heliport,Guttenberg Municipal Hospital Heliport,US,
US-0608,small_airport,Hazel Green Acres Airport,US,
US-0611,small_airport,Haymaker Airport,US,
US-0612,small_airport,Hershey Flying Service Field Airport,US,
US-0613,heliport,Bell Air Ranch Heliport,US,
US-0614,heliport,Melissa Memorial Hospital Heliport,US,
US-0616,small_airport,Flying M Airport,US,
US-0617,heliport,Golden Nugget Lake Charles Heliport,US,
US-0620,heliport,AdventHealth Ocala Heliport,US,
US-0621,heliport,Renville County Regional Hospital Heliport,US,
US-0622,heliport,Avita Ontario Helipad,US,
US-0623,seaplane_base,Lake Meredith Seaplane Base,US,
US-0624,small_airport,Saunders Field,US,
US-0625,heliport,Hemi Acres Heliport,US,
US-0626,small_airport,Musselman Airstrip,US,
US-0627,small_airport,Haymaker Private Airport,US,
US-0628,small_airport,Heyoka Field,US,
US-0629,small_airport,Squadron Field,US,
US-0630,small_airport,The Flying W Ranch Airport,US,
US-0631,small_airport,Papp Airpark,US,
US-0632,heliport,Centracare Health Paynesville Heliport,US,
US-0633,heliport,Tsam Heliport,US,
US-0634,seaplane_base,Emma's Bay Seaplane Base,US,
US-0635,heliport,Highland Community Hospital Heliport,US,
US-0636,heliport,Richardson Regional Heliport - Campbell Road,US,
US-0637,small_airport,Peltz Field,US,
US-0638,small_airport,Dusty Wings Field,US,
US-0639,small_airport,Krause Airport,US,
US-0640,small_airport,Forseth Field,US,
US-0641,heliport,Ridgeview Sibley Medical Center Heliport,US,
US-0642,small_airport,Malinchak Private Airport,US,
US-0643,small_airport,Stockwell Field,US,
US-0644,heliport,Dotlich Heliport,US,
US-0645,small_airport,Slate River Airpark,US,
US-0646,heliport,Fairview Ridges Hospital Heliport,US,
US-0648,small_airport,Shockley Field Airport,US,
US-0649,small_airport,Martin Ranch Airport,US,
US-0650,heliport,Mercy Health Cassville Heliport,US,
US-0651,small_airport,El Tesoro Ranch Airport,US,
US-0652,heliport,Rotary Run Heliport,US,
US-0653,heliport,Corewell Health Zeeland Hospital Heliport,US,
US-0654,small_airport,Northwood Airstrip,US,
US-0655,small_airport,Davis Field,US,
US-0656,small_airport,McMaster Gliderport,US,
US-0657,small_airport,Erickson Intergalactic Airport,US,
US-0658,small_airport,Weiss Acres Airport,US,
US-0659,heliport,South Lake Hospital Main Campus Heliport,US,
US-0660,small_airport,Brandes Air Field 2,US,
US-0661,small_airport,Chandler Ranch Airport,US,
US-0662,small_airport,Dennys Playground Airport,US,
US-0663,seaplane_base,Hurley Memorial Seaport,US,
US-0664,heliport,Gifford Memorial Hospital Heliport,US,
US-0665,small_airport,Rancho Deluxe Airport,US,
US-0666,heliport,Barber Marina Heliport,US,
US-0667,small_airport,Sheridan Field,US,
US-0668,seaplane_base,Wildhurst Pines Seaplane Base,US,
US-0669,heliport,Mercy Health Fairfield Hospital Heliport,US,
US-0670,small_airport,Fairmount Airport,US,
US-0671,small_airport,Glass Ranch Airport,US,
US-0673,heliport,Novant Health UVA Haymarket Medical Center Heliport,US,
US-0676,small_airport,Canadian River Corrientes Airport,US,
US-0677,small_airport,Ricker Ranch Airport,US,
US-0678,small_airport,Riegleman Field,US,
US-0679,small_airport,Entz Arts Airport,US,
US-0680,small_airport,Wheeler Landing Strip,US,
US-0681,heliport,Bankhead Dam Heliport,US,
US-0682,small_airport,J5 Mike Airport,US,
US-0683,heliport,Montgomery Crew Headquarters Heliport,US,
US-0684,heliport,Plant Franklin Heliport,US,
US-0685,small_airport,Rocky Springs Airpark,US,
US-0686,small_airport,Treeo Airport,US,
US-0687,heliport,Bach Helipad,US,
US-0688,small_airport,Fireweed Airport,US,
US-0689,small_airport,Entz Home Airport,US,
